"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.08.2018","5.449,90","5.500,00","5.500,00","5.449,90","14,61K","-0,02%"
"17.08.2018","5.451,10","5.415,50","5.550,00","5.350,00","209,47K","0,66%"
"16.08.2018","5.415,50","5.484,00","5.529,90","5.412,00","318,05K","-1,25%"
"14.08.2018","5.484,00","5.636,00","5.636,00","5.415,10","371,70K","-0,89%"
"13.08.2018","5.533,20","5.693,40","5.720,00","5.500,10","223,35K","-2,81%"
"10.08.2018","5.693,40","5.688,60","5.798,00","5.551,20","296,66K","0,08%"
"09.08.2018","5.688,60","5.792,00","5.792,00","5.601,00","255,40K","-1,79%"
"08.08.2018","5.792,00","5.739,30","5.859,00","5.740,00","44,41K","0,92%"
"07.08.2018","5.739,30","5.834,30","5.895,00","5.650,10","217,03K","-1,63%"
"06.08.2018","5.834,30","5.932,00","5.970,00","5.830,00","107,99K","-1,65%"
"03.08.2018","5.932,00","5.970,00","6.038,00","5.912,20","115,17K","-0,80%"
"02.08.2018","5.980,00","5.992,00","5.992,00","5.900,90","526,07K","-0,20%"
"01.08.2018","5.992,00","6.016,80","6.017,00","5.953,00","136,10K","-0,41%"
"31.07.2018","6.016,80","5.917,70","6.099,70","5.917,70","313,98K","0,66%"
"30.07.2018","5.977,50","5.937,70","6.020,00","5.936,30","186,48K","0,67%"
"27.07.2018","5.937,70","6.045,90","6.053,90","5.900,00","218,98K","-1,79%"
"26.07.2018","6.045,90","6.045,80","6.095,00","6.000,00","100,90K","0,00%"
"25.07.2018","6.045,80","6.099,30","6.199,00","6.008,20","287,78K","-0,88%"
"24.07.2018","6.099,30","6.002,40","6.190,00","5.944,90","277,37K","1,61%"
"23.07.2018","6.002,40","5.999,60","6.045,00","5.977,20","727,39K","0,05%"
"20.07.2018","5.999,60","5.999,90","6.050,00","5.990,00","1,06M","-0,00%"
"19.07.2018","5.999,90","5.967,40","6.150,00","5.960,00","475,49K","0,54%"
"18.07.2018","5.967,40","5.928,20","6.000,00","5.945,00","166,63K","0,66%"
"17.07.2018","5.928,20","5.935,30","5.993,00","5.899,80","318,44K","-0,12%"
"13.07.2018","5.935,30","5.976,40","5.999,60","5.901,10","247,14K","-0,69%"
"12.07.2018","5.976,40","6.001,70","6.002,00","5.948,80","371,15K","-0,42%"
"11.07.2018","6.001,70","6.018,70","6.050,00","6.000,00","433,11K","-0,28%"
"10.07.2018","6.018,70","6.028,10","6.180,00","5.900,00","617,83K","-1,15%"
"09.07.2018","6.089,00","6.078,60","6.183,00","6.070,00","220,47K","0,17%"
"06.07.2018","6.078,60","5.994,40","6.150,00","5.999,90","3,07M","1,40%"
"05.07.2018","5.994,40","5.960,20","6.023,00","5.960,20","900,11K","0,58%"
"04.07.2018","5.960,10","5.962,30","6.050,00","5.905,40","111,87K","-0,04%"
"03.07.2018","5.962,30","6.051,50","6.220,00","5.953,00","62,79K","-1,47%"
"29.06.2018","6.051,50","5.984,60","6.114,00","5.955,00","237,58K","1,12%"
"28.06.2018","5.984,60","6.000,00","6.150,00","5.902,00","399,86K","-0,58%"
"27.06.2018","6.019,40","5.918,90","6.189,80","5.920,00","814,94K","1,70%"
"26.06.2018","5.918,90","6.000,00","6.081,00","5.856,00","258,08K","-1,01%"
"25.06.2018","5.979,30","6.078,90","6.170,10","5.952,00","284,28K","-1,64%"
"22.06.2018","6.078,90","6.200,40","6.300,00","6.050,10","169,90K","-1,96%"
"21.06.2018","6.200,40","6.413,90","6.420,00","6.175,00","288,48K","-3,33%"
"20.06.2018","6.413,90","6.471,40","6.580,00","6.407,00","176,11K","-0,89%"
"19.06.2018","6.471,40","6.573,00","6.684,00","6.440,00","1,80M","-1,55%"
"18.06.2018","6.573,00","6.655,10","6.733,00","6.560,00","117,75K","-1,23%"
"15.06.2018","6.655,10","6.724,00","6.710,00","6.651,00","1,07M","-1,02%"
"14.06.2018","6.724,00","6.662,80","6.738,00","6.650,00","312,14K","0,92%"
"13.06.2018","6.662,80","6.700,00","6.714,80","6.651,00","234,67K","-0,56%"
"12.06.2018","6.700,00","6.697,00","6.730,00","6.550,00","319,64K","0,04%"
"11.06.2018","6.697,00","6.700,90","6.790,00","6.640,00","134,79K","-0,06%"
"08.06.2018","6.700,90","6.723,40","6.799,90","6.615,10","219,18K","-0,33%"
"07.06.2018","6.723,40","6.738,50","6.900,00","6.660,00","166,14K","-0,22%"
"06.06.2018","6.738,50","6.711,40","6.840,00","6.711,00","177,85K","0,40%"
"05.06.2018","6.711,40","6.744,10","6.792,00","6.700,00","412,42K","-0,48%"
"04.06.2018","6.744,10","6.692,20","6.880,00","6.715,10","141,24K","0,78%"
"01.06.2018","6.692,20","6.749,60","6.975,00","6.685,00","412,85K","-0,85%"
"31.05.2018","6.749,60","6.733,20","6.880,00","6.666,00","529,99K","0,24%"
"30.05.2018","6.733,20","6.769,20","6.855,00","6.670,00","622,94K","-0,53%"
"29.05.2018","6.769,20","6.686,60","6.798,60","6.691,00","262,29K","1,24%"
"28.05.2018","6.686,60","6.650,20","6.782,00","6.651,00","121,71K","0,55%"
"25.05.2018","6.650,20","6.742,50","6.900,00","6.630,00","138,75K","-1,37%"
"24.05.2018","6.742,50","6.753,20","6.790,00","6.660,00","376,99K","-0,16%"
"23.05.2018","6.753,20","6.764,90","6.977,00","6.750,00","241,73K","-0,17%"
"22.05.2018","6.764,90","6.841,60","6.900,00","6.758,00","352,70K","-1,12%"
"18.05.2018","6.841,60","6.752,70","6.878,00","6.750,00","460,33K","1,32%"
"17.05.2018","6.752,70","6.770,70","6.770,00","6.722,00","234,27K","-0,27%"
