"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.08.2018","5.409,30","5.404,70","5.435,00","5.400,00","114,10K","0,09%"
"17.08.2018","5.404,70","5.443,00","5.443,00","5.380,10","397,85K","-0,13%"
"16.08.2018","5.411,90","5.430,00","5.445,00","5.400,00","1,31M","-0,28%"
"14.08.2018","5.427,00","5.407,00","5.460,00","5.405,00","2,51M","0,37%"
"13.08.2018","5.407,00","5.410,00","5.450,00","5.376,00","825,80K","-0,12%"
"10.08.2018","5.413,30","5.500,00","5.600,00","5.390,00","1,11M","-2,14%"
"09.08.2018","5.531,40","5.549,90","5.549,80","5.500,00","2,41M","-0,33%"
"08.08.2018","5.549,90","5.558,30","5.600,00","5.535,00","1,37M","-0,15%"
"07.08.2018","5.558,30","5.580,20","5.630,00","5.527,80","1,17M","-0,39%"
"06.08.2018","5.580,20","5.630,00","5.638,00","5.565,00","574,74K","-0,43%"
"03.08.2018","5.604,40","5.600,60","5.674,00","5.570,00","612,87K","0,57%"
"02.08.2018","5.572,80","5.598,30","5.598,30","5.449,20","4,27M","-0,46%"
"01.08.2018","5.598,30","5.930,70","5.979,90","5.560,00","2,75M","-5,60%"
"31.07.2018","5.930,70","5.900,00","5.969,70","5.902,00","1,40M","0,52%"
"30.07.2018","5.900,00","5.857,60","5.915,00","5.857,60","1,48M","0,72%"
"27.07.2018","5.857,60","5.912,20","5.950,00","5.835,90","1,55M","-0,92%"
"26.07.2018","5.912,20","5.930,90","5.998,00","5.870,00","1,87M","-0,32%"
"25.07.2018","5.930,90","5.902,00","5.958,00","5.902,00","582,61K","-0,45%"
"24.07.2018","5.957,80","5.951,90","5.999,90","5.930,10","2,12M","0,10%"
"23.07.2018","5.951,90","5.951,10","5.975,00","5.938,00","1,68M","0,01%"
"20.07.2018","5.951,10","5.910,50","5.969,90","5.910,50","1,31M","0,69%"
"19.07.2018","5.910,50","5.952,50","5.960,10","5.835,00","4,84M","-0,71%"
"18.07.2018","5.952,50","5.966,50","5.988,00","5.910,20","930,14K","-0,23%"
"17.07.2018","5.966,50","5.926,00","5.988,00","5.899,60","1,16M","0,68%"
"13.07.2018","5.926,00","5.904,50","5.975,00","5.863,00","1,38M","0,36%"
"12.07.2018","5.904,50","5.926,50","5.979,20","5.801,00","423,33K","-0,37%"
"11.07.2018","5.926,50","5.919,10","5.944,90","5.900,00","1,65M","0,13%"
"10.07.2018","5.919,10","5.930,00","5.940,00","5.900,00","768,75K","-0,18%"
"09.07.2018","5.929,50","5.866,00","5.969,00","5.866,00","1,26M","0,17%"
"06.07.2018","5.919,40","5.914,20","5.973,30","5.900,00","1,56M","0,09%"
"05.07.2018","5.914,20","5.951,20","5.998,80","5.900,00","1,41M","-0,62%"
"04.07.2018","5.951,20","6.002,90","6.000,00","5.925,10","1,52M","-0,86%"
"03.07.2018","6.002,90","5.993,80","6.055,00","5.926,00","1,38M","0,15%"
"29.06.2018","5.993,80","5.880,00","5.999,90","5.850,00","1,78M","1,95%"
"28.06.2018","5.878,90","5.929,60","5.940,00","5.718,00","743,09K","-0,86%"
"27.06.2018","5.929,60","5.924,10","5.997,00","5.901,00","736,76K","0,09%"
"26.06.2018","5.924,10","5.900,60","5.975,00","5.899,00","1,00M","0,40%"
"25.06.2018","5.900,60","5.934,40","6.000,00","5.861,90","1,90M","-0,57%"
"22.06.2018","5.934,40","5.973,40","5.999,00","5.900,10","1,42M","-0,24%"
"21.06.2018","5.948,60","5.998,30","6.150,00","5.902,00","1,17M","-0,83%"
"20.06.2018","5.998,30","5.960,40","6.068,00","5.985,20","868,09K","0,64%"
"19.06.2018","5.960,40","6.003,40","6.077,50","5.915,70","3,22M","-0,72%"
"18.06.2018","6.003,40","6.063,60","6.068,00","5.981,00","1,49M","-0,99%"
"15.06.2018","6.063,60","6.100,80","6.106,00","6.050,00","3,10M","-0,61%"
"14.06.2018","6.100,80","6.079,50","6.120,00","6.060,10","748,76K","0,35%"
"13.06.2018","6.079,50","6.087,50","6.115,00","6.011,90","1,74M","-0,13%"
"12.06.2018","6.087,50","6.079,40","6.129,90","6.055,00","1,04M","0,13%"
"11.06.2018","6.079,40","6.130,00","6.130,00","6.060,00","1,93M","-0,22%"
"08.06.2018","6.092,50","6.018,10","6.114,00","6.000,00","3,03M","1,24%"
"07.06.2018","6.018,10","6.069,00","6.092,00","6.011,00","2,55M","-0,55%"
"06.06.2018","6.051,60","6.008,00","6.085,00","5.988,00","9,00M","0,73%"
"05.06.2018","6.008,00","6.100,00","6.100,00","5.950,10","2,02M","-1,47%"
"04.06.2018","6.097,80","6.004,40","6.125,00","6.004,40","1,91M","1,56%"
"01.06.2018","6.004,40","5.945,00","6.200,00","5.909,00","1,15M","1,66%"
"31.05.2018","5.906,30","5.916,40","5.949,80","5.890,00","3,41M","-0,17%"
"30.05.2018","5.916,40","5.937,50","5.987,90","5.906,30","1,85M","-0,36%"
"29.05.2018","5.937,50","6.045,60","6.069,50","5.901,10","2,28M","-1,79%"
"28.05.2018","6.045,60","6.010,00","6.089,70","6.010,00","1,78M","0,65%"
"25.05.2018","6.006,80","6.000,20","6.027,90","5.980,00","905,24K","0,11%"
"24.05.2018","6.000,20","5.981,60","6.100,00","5.988,00","2,03M","0,31%"
"23.05.2018","5.981,60","6.090,00","6.090,00","5.955,00","1,06M","-1,33%"
"22.05.2018","6.062,50","6.053,00","6.090,00","6.025,10","1,20M","0,16%"
"18.05.2018","6.053,00","6.080,00","6.100,00","5.970,00","949,70K","1,41%"
"17.05.2018","5.969,10","6.067,70","6.070,00","5.951,10","1,64M","-1,62%"
"16.05.2018","6.067,70","6.036,30","6.078,00","6.020,00","642,98K","0,52%"
"15.05.2018","6.036,30","6.050,00","6.090,00","5.985,00","903,84K","-0,62%"
"14.05.2018","6.074,20","6.002,60","6.095,00","6.000,00","4,24M","1,19%"
"11.05.2018","6.002,60","6.050,00","6.100,10","5.950,10","996,39K","-1,16%"
"10.05.2018","6.073,20","5.997,90","6.080,00","5.997,00","1,05M","1,26%"
"09.05.2018","5.997,90","5.901,00","6.025,00","5.901,00","1,30M","1,14%"
"08.05.2018","5.930,30","5.906,00","5.950,00","5.908,00","4,93M","0,41%"
"07.05.2018","5.906,00","5.901,50","5.939,00","5.901,40","482,66K","0,08%"
"04.05.2018","5.901,50","5.900,40","5.944,90","5.890,00","986,96K","0,02%"
"03.05.2018","5.900,40","5.944,90","5.944,90","5.895,00","1,14M","-0,79%"
"02.05.2018","5.947,20","5.937,30","5.960,10","5.905,00","1,37M","0,17%"
"30.04.2018","5.937,30","5.926,40","5.969,70","5.915,00","752,06K","0,18%"
"27.04.2018","5.926,40","5.933,20","5.940,00","5.902,80","786,76K","-0,11%"
"26.04.2018","5.933,20","5.960,10","6.025,00","5.870,00","1,49M","-0,45%"
"25.04.2018","5.960,10","6.000,00","6.000,00","5.940,00","1,73M","-0,16%"
"24.04.2018","5.969,60","5.996,70","6.036,00","5.955,00","712,82K","-0,45%"
"23.04.2018","5.996,70","5.957,50","6.000,00","5.945,00","584,84K","0,66%"
"20.04.2018","5.957,50","5.960,80","5.970,00","5.940,00","511,30K","-0,06%"
"19.04.2018","5.960,80","5.963,30","5.995,00","5.930,00","1,33M","-0,04%"
"18.04.2018","5.963,30","5.937,20","5.997,90","5.940,00","799,81K","0,44%"
"17.04.2018","5.937,20","5.963,00","5.990,00","5.865,00","951,18K","-0,45%"
"16.04.2018","5.963,90","5.954,40","6.000,00","5.926,10","443,68K","0,16%"
"13.04.2018","5.954,40","5.930,00","5.998,80","5.880,20","906,64K","0,58%"
"12.04.2018","5.920,20","5.906,10","5.930,00","5.900,00","645,59K","0,24%"
"11.04.2018","5.906,10","5.910,00","5.910,60","5.862,00","936,30K","-0,08%"
"10.04.2018","5.910,60","5.831,10","5.925,00","5.835,00","1,69M","1,36%"
"09.04.2018","5.831,10","5.822,40","5.840,00","5.804,00","880,86K","0,15%"
"06.04.2018","5.822,40","5.837,80","5.849,90","5.806,00","890,82K","-0,26%"
"05.04.2018","5.837,80","5.800,00","5.880,00","5.800,00","1,30M","0,79%"
"04.04.2018","5.792,10","5.800,00","5.800,00","5.760,00","655,07K","-0,10%"
"03.04.2018","5.797,80","5.800,00","5.838,90","5.776,20","873,49K","-0,03%"
"02.04.2018","5.799,70","5.823,30","5.839,00","5.760,00","778,04K","-0,41%"
"29.03.2018","5.823,30","5.806,00","5.845,00","5.790,00","974,61K","0,30%"
"28.03.2018","5.806,00","5.819,00","5.840,00","5.800,00","999,95K","-0,20%"
"27.03.2018","5.817,80","5.776,10","5.848,90","5.780,00","1,08M","0,72%"
"26.03.2018","5.776,10","5.721,00","5.800,00","5.721,00","860,03K","0,24%"
"23.03.2018","5.762,00","5.788,70","5.789,90","5.705,00","1,34M","-0,46%"
"22.03.2018","5.788,70","5.815,00","5.820,00","5.765,00","1,73M","-0,33%"
"21.03.2018","5.808,00","5.797,90","5.824,00","5.785,00","796,32K","0,17%"
"20.03.2018","5.797,90","5.802,40","5.829,00","5.782,00","1,48M","-0,08%"
"19.03.2018","5.802,40","5.777,20","5.900,00","5.780,00","2,17M","0,44%"
"16.03.2018","5.777,20","5.846,10","5.850,10","5.753,30","25,03M","-1,18%"
