"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.08.2018","585,01","583,55","589,00","583,55","40,13K","0,29%"
"17.08.2018","583,29","593,16","600,00","574,99","2,66M","-1,66%"
"16.08.2018","593,16","582,02","600,00","562,99","1,10M","1,91%"
"14.08.2018","582,02","585,00","585,00","582,00","991,78K","-0,51%"
"13.08.2018","585,00","585,00","588,00","575,99","50,50K","0,00%"
"10.08.2018","585,00","594,41","600,01","574,96","3,61M","-1,58%"
"09.08.2018","594,41","596,00","600,00","592,00","974,67K","-0,27%"
"08.08.2018","596,00","596,00","598,00","585,00","3,99M","0,00%"
"07.08.2018","596,00","595,93","596,03","595,94","4,17M","0,01%"
"06.08.2018","595,93","596,03","596,03","586,00","480,50K","-0,02%"
"03.08.2018","596,03","592,03","600,00","594,00","1,09M","0,68%"
"02.08.2018","592,03","599,89","600,15","570,99","2,33M","-1,31%"
"01.08.2018","599,89","599,69","604,99","595,00","2,72M","0,03%"
"31.07.2018","599,69","587,94","600,09","587,94","4,24M","2,00%"
"30.07.2018","587,94","602,18","610,00","575,00","594,19K","-2,36%"
"27.07.2018","602,18","607,62","607,74","595,00","120,08K","-0,90%"
"26.07.2018","607,62","610,00","611,02","602,51","830,76K","-0,39%"
"25.07.2018","610,00","612,43","611,00","609,90","364,86K","-0,40%"
"24.07.2018","612,43","598,50","613,07","598,50","3,97M","1,56%"
"23.07.2018","603,00","608,00","610,00","602,99","1,55M","-0,82%"
"20.07.2018","608,00","599,16","614,51","599,16","2,79M","0,46%"
"19.07.2018","605,21","609,98","610,21","603,88","1,96M","-0,78%"
"18.07.2018","609,98","609,00","610,07","602,91","1,82M","0,16%"
"17.07.2018","609,00","609,98","615,01","600,49","2,36M","-0,16%"
"13.07.2018","609,98","619,67","617,00","602,00","648,45K","-1,56%"
"12.07.2018","619,67","625,00","642,96","605,99","920,97K","-0,85%"
"11.07.2018","625,00","625,05","655,00","611,00","1,46M","-0,01%"
"10.07.2018","625,05","624,66","626,10","611,00","1,95M","0,06%"
"09.07.2018","624,66","612,00","625,00","612,00","113,46K","2,07%"
"06.07.2018","612,00","610,03","612,00","610,00","450,21K","0,32%"
"05.07.2018","610,03","606,00","610,10","606,00","1,17M","0,67%"
"04.07.2018","606,00","602,00","606,00","602,00","120,79K","0,66%"
"03.07.2018","602,00","618,34","620,03","602,00","786,00K","-2,64%"
"29.06.2018","618,34","602,14","620,00","600,00","901,33K","2,69%"
"28.06.2018","602,14","611,17","611,10","601,01","516,24K","-1,48%"
"27.06.2018","611,17","620,00","620,00","610,69","843,29K","-1,42%"
"26.06.2018","620,00","615,03","620,02","610,01","466,79K","0,81%"
"25.06.2018","615,03","625,02","626,00","610,00","1,03M","-1,60%"
"22.06.2018","625,02","622,00","625,02","625,02","345,30K","0,49%"
"21.06.2018","622,00","631,11","631,11","622,00","1,85M","-1,44%"
"20.06.2018","631,11","637,00","637,02","631,11","606,26K","-0,92%"
"19.06.2018","637,00","637,10","648,00","637,00","1,07M","-0,02%"
"18.06.2018","637,10","636,32","649,99","635,00","146,05K","0,12%"
"15.06.2018","636,32","648,33","643,01","631,00","10,09M","-1,85%"
"14.06.2018","648,33","640,00","649,43","634,49","4,66M","1,30%"
"13.06.2018","640,00","641,08","645,00","640,00","443,78K","-0,17%"
"12.06.2018","641,08","635,09","641,10","635,00","3,10M","0,94%"
"11.06.2018","635,09","635,00","640,00","635,00","311,54K","0,01%"
"08.06.2018","635,00","635,03","636,00","633,96","1,63M","-0,00%"
"07.06.2018","635,03","635,10","660,00","634,68","136,38K","-0,01%"
"06.06.2018","635,10","635,90","640,00","632,00","3,91M","-0,13%"
"05.06.2018","635,90","639,42","640,00","614,73","821,53K","-0,55%"
"04.06.2018","639,42","630,00","642,10","635,00","480,87K","1,50%"
"01.06.2018","630,00","632,77","635,00","629,99","1,85M","-0,44%"
"31.05.2018","632,77","630,18","634,00","629,89","1,86M","0,41%"
"30.05.2018","630,18","629,39","635,00","615,03","970,72K","0,13%"
"29.05.2018","629,39","630,02","654,00","626,44","2,69M","-0,10%"
"28.05.2018","630,02","649,45","646,00","630,02","766,56K","-2,99%"
"25.05.2018","649,45","654,66","660,00","645,00","436,58K","-0,80%"
"24.05.2018","654,66","645,29","655,00","645,29","2,21M","1,45%"
"23.05.2018","645,29","639,34","665,00","639,92","1,21M","0,93%"
"22.05.2018","639,34","631,00","640,00","635,50","1,28M","1,32%"
"18.05.2018","631,00","646,02","650,00","631,00","1,03M","-2,33%"
"17.05.2018","646,02","645,00","646,02","645,00","2,20M","0,16%"
"16.05.2018","645,00","646,22","646,01","645,00","613,86K","-0,19%"
"15.05.2018","646,22","659,99","650,01","645,00","206,65K","-2,09%"
"14.05.2018","659,99","665,00","665,00","650,00","1,06M","-0,75%"
"11.05.2018","665,00","669,88","670,20","663,99","363,44K","-0,73%"
"10.05.2018","669,88","667,98","670,00","669,87","2,49M","0,28%"
"09.05.2018","667,98","659,97","669,99","660,00","665,24K","1,21%"
"08.05.2018","659,97","659,80","660,00","650,01","1,91M","0,03%"
"07.05.2018","659,80","639,98","660,00","640,00","214,05K","3,10%"
"04.05.2018","639,98","670,00","670,00","640,00","24,31K","-3,27%"
"03.05.2018","661,61","668,10","667,00","659,96","833,00K","-0,97%"
"02.05.2018","668,10","661,19","668,10","661,19","1,62M","1,05%"
"30.04.2018","661,19","652,77","665,00","653,00","864,73K","1,29%"
"27.04.2018","652,77","650,10","653,00","650,00","3,21M","0,41%"
"26.04.2018","650,10","650,11","654,99","650,00","412,58K","-0,00%"
"25.04.2018","650,11","653,43","656,00","649,82","769,00K","-0,51%"
"24.04.2018","653,43","658,00","657,43","650,12","915,45K","-0,69%"
"23.04.2018","658,00","654,92","659,89","650,00","371,22K","0,47%"
"20.04.2018","654,92","652,95","655,00","650,00","688,58K","0,30%"
"19.04.2018","652,95","649,98","655,00","649,90","2,44M","0,46%"
"18.04.2018","649,98","648,74","655,00","635,00","694,78K","0,19%"
"17.04.2018","648,74","648,93","649,90","648,00","384,37K","-0,03%"
"16.04.2018","648,93","655,00","655,00","642,00","97,36K","-0,93%"
"13.04.2018","655,00","649,07","660,00","649,99","27,62M","0,91%"
"12.04.2018","649,07","652,04","652,00","640,00","23,53M","-0,46%"
"11.04.2018","652,04","652,25","656,00","652,00","10,10M","-0,03%"
"10.04.2018","652,25","651,56","656,00","632,00","776,85K","0,11%"
"09.04.2018","651,56","643,97","656,00","634,99","408,89K","1,18%"
"06.04.2018","643,97","640,00","650,00","643,95","4,23M","0,62%"
"05.04.2018","640,00","627,68","644,50","627,68","1,54M","1,96%"
"04.04.2018","627,68","630,05","632,00","620,00","823,47K","-0,38%"
"03.04.2018","630,05","620,00","632,00","620,00","96,00K","1,62%"
"02.04.2018","620,00","622,62","622,62","615,00","1,24M","-0,42%"
"29.03.2018","622,62","609,45","625,00","609,45","82,96K","2,16%"
"28.03.2018","609,45","608,61","615,00","608,00","1,18M","0,14%"
"27.03.2018","608,61","600,87","612,75","604,48","1,90M","1,29%"
"26.03.2018","600,87","609,79","610,00","592,99","965,84K","-1,46%"
"23.03.2018","609,79","605,50","612,00","601,00","7,53M","0,71%"
"22.03.2018","605,50","614,26","610,06","592,00","2,50M","-1,43%"
"21.03.2018","614,26","616,17","629,90","610,10","3,63M","-0,31%"
"20.03.2018","616,17","617,01","617,00","610,10","2,80M","-0,14%"
"19.03.2018","617,01","617,25","618,00","612,00","244,00K","-0,04%"
"16.03.2018","617,25","615,00","624,99","612,00","1,54M","0,37%"
"15.03.2018","615,00","616,97","617,00","611,40","950,07K","-0,32%"
"14.03.2018","616,97","629,65","627,56","613,00","525,89K","-2,01%"
"13.03.2018","629,65","649,99","649,99","629,50","892,83K","-2,27%"
"12.03.2018","644,25","629,68","647,99","625,00","1,52M","2,31%"
"09.03.2018","629,68","618,66","629,73","617,00","1,57M","1,78%"
"08.03.2018","618,66","617,81","622,00","610,00","1,84M","0,14%"
"07.03.2018","617,81","630,00","625,00","611,20","175,37K","-1,93%"
"06.03.2018","630,00","630,00","630,01","615,11","665,19K","1,12%"
"05.03.2018","623,02","616,88","627,96","616,88","304,46K","1,00%"
"02.03.2018","616,88","625,95","626,22","607,00","916,80K","-1,45%"
"01.03.2018","625,95","637,91","639,93","621,01","907,01K","-1,87%"
"28.02.2018","637,91","637,96","658,00","630,00","1,46M","-0,01%"
"27.02.2018","637,96","652,25","665,00","625,02","923,07K","-2,19%"
"26.02.2018","652,25","654,78","655,00","642,24","91,75K","-0,39%"
"23.02.2018","654,78","654,01","656,99","656,99","6,11K","0,12%"
"22.02.2018","654,01","647,54","654,98","647,00","939,34K","1,00%"
"21.02.2018","647,54","647,45","652,50","640,00","326,42K","0,01%"
"20.02.2018","647,45","631,00","650,00","640,00","2,94M","2,61%"
"19.02.2018","631,00","631,00","635,00","629,99","701,73K","0,00%"
"16.02.2018","631,00","646,39","649,00","630,99","3,28M","-2,38%"
"15.02.2018","646,39","640,18","655,00","630,00","2,79M","0,97%"
"14.02.2018","640,18","620,22","640,20","616,99","568,12K","3,22%"
"13.02.2018","620,22","627,00","630,01","591,02","2,76M","-1,08%"
"12.02.2018","627,00","634,50","637,02","627,00","406,31K","-1,18%"
"09.02.2018","634,50","646,99","648,10","634,50","432,85K","-1,93%"
"08.02.2018","646,99","647,98","668,00","646,99","530,59K","-0,15%"
"07.02.2018","647,98","654,01","658,00","640,00","1,07M","-0,92%"
"06.02.2018","654,01","666,65","657,09","645,00","597,20K","-1,90%"
"05.02.2018","666,65","679,78","681,00","661,01","3,13M","-1,93%"
"02.02.2018","679,78","686,75","694,90","675,01","524,52K","-1,01%"
"01.02.2018","686,75","705,36","705,36","685,00","6,63M","-2,64%"
"31.01.2018","705,36","707,32","715,00","700,00","2,07M","-0,28%"
"30.01.2018","707,32","715,83","718,00","705,02","5,88M","-1,19%"
"29.01.2018","715,83","718,22","721,00","714,99","634,67K","-0,33%"
"26.01.2018","718,22","711,67","720,00","690,00","167,69K","0,92%"
"25.01.2018","711,67","711,95","725,00","709,01","4,69M","-0,04%"
"24.01.2018","711,95","699,78","719,90","690,00","7,66M","1,74%"
"23.01.2018","699,78","703,98","715,00","686,00","5,83M","-0,60%"
"22.01.2018","703,98","700,06","708,01","702,00","859,37K","0,56%"
"19.01.2018","700,06","697,93","706,00","696,00","3,36M","0,31%"
"18.01.2018","697,93","693,97","710,00","690,00","19,89M","0,57%"
"17.01.2018","693,97","685,00","700,00","680,00","3,64M","1,31%"
"15.01.2018","685,00","680,00","686,00","683,00","645,11K","0,74%"
"12.01.2018","680,00","688,69","685,18","680,00","1,70M","-1,26%"
"11.01.2018","688,69","680,21","690,00","677,97","1,79M","1,25%"
"10.01.2018","680,21","682,43","683,00","670,00","965,25K","-0,33%"
"09.01.2018","682,43","687,60","687,10","662,00","692,91K","-0,75%"
"08.01.2018","687,60","680,75","690,00","671,00","6,03M","1,01%"
"05.01.2018","680,75","671,34","685,00","671,00","1,17M","1,40%"
"04.01.2018","671,34","666,79","683,90","667,00","3,27M","0,68%"
"03.01.2018","666,79","655,46","675,00","655,46","1,20M","1,73%"
"02.01.2018","655,46","668,26","668,00","650,00","1,40M","-1,92%"
"29.12.2017","668,26","675,00","675,00","656,00","147,73K","-1,00%"
"28.12.2017","675,00","679,00","679,00","670,00","595,68K","-0,59%"
"27.12.2017","679,00","676,94","679,00","663,00","205,43K","0,30%"
"26.12.2017","676,94","690,00","685,00","665,00","269,58K","-1,89%"
"22.12.2017","690,00","658,76","690,00","660,00","419,18K","4,74%"
"21.12.2017","658,76","685,57","690,00","655,00","297,51K","-3,91%"
"20.12.2017","685,57","670,00","690,00","630,00","1,61M","1,76%"
