Fecha,Último
20/08/2018,"5.449,90"
17/08/2018,"5.451,10"
16/08/2018,"5.415,50"
14/08/2018,"5.484,00"
13/08/2018,"5.533,20"
10/8/18,"5.693,40"
9/8/18,"5.688,60"
8/8/18,"5.792,00"
7/8/18,"5.739,30"
6/8/18,"5.834,30"
3/8/18,"5.932,00"
2/8/18,"5.980,00"
1/8/18,"5.992,00"
31/07/2018,"6.016,80"
30/07/2018,"5.977,50"
27/07/2018,"5.937,70"
26/07/2018,"6.045,90"
25/07/2018,"6.045,80"
24/07/2018,"6.099,30"
23/07/2018,"6.002,40"
20/07/2018,"5.999,60"
19/07/2018,"5.999,90"
18/07/2018,"5.967,40"
17/07/2018,"5.928,20"
13/07/2018,"5.935,30"
12/7/18,"5.976,40"
11/7/18,"6.001,70"
10/7/18,"6.018,70"
9/7/18,"6.089,00"
6/7/18,"6.078,60"
5/7/18,"5.994,40"
4/7/18,"5.960,10"
3/7/18,"5.962,30"
29/06/2018,"6.051,50"
28/06/2018,"5.984,60"
27/06/2018,"6.019,40"
26/06/2018,"5.918,90"
25/06/2018,"5.979,30"
22/06/2018,"6.078,90"
21/06/2018,"6.200,40"
20/06/2018,"6.413,90"
19/06/2018,"6.471,40"
18/06/2018,"6.573,00"
15/06/2018,"6.655,10"
14/06/2018,"6.724,00"
13/06/2018,"6.662,80"
12/6/18,"6.700,00"
11/6/18,"6.697,00"
8/6/18,"6.700,90"
7/6/18,"6.723,40"
6/6/18,"6.738,50"
5/6/18,"6.711,40"
4/6/18,"6.744,10"
1/6/18,"6.692,20"
31/05/2018,"6.749,60"
30/05/2018,"6.733,20"
29/05/2018,"6.769,20"
28/05/2018,"6.686,60"
25/05/2018,"6.650,20"
24/05/2018,"6.742,50"
23/05/2018,"6.753,20"
22/05/2018,"6.764,90"
18/05/2018,"6.841,60"
17/05/2018,"6.752,70"
16/05/2018,"6.770,70"
15/05/2018,"6.820,30"
14/05/2018,"6.679,90"
11/5/18,"6.756,60"
10/5/18,"6.848,80"
9/5/18,"6.859,20"
8/5/18,"6.978,10"
7/5/18,"7.217,90"
4/5/18,"7.094,30"
3/5/18,"7.190,20"
2/5/18,"7.283,70"
30/04/2018,"7.241,60"
27/04/2018,"7.225,90"
26/04/2018,"7.220,50"
25/04/2018,"7.197,80"
24/04/2018,"7.314,50"
23/04/2018,"7.309,30"
20/04/2018,"7.355,30"
19/04/2018,"7.278,30"
18/04/2018,"7.188,90"
17/04/2018,"7.137,20"
16/04/2018,"7.150,30"
13/04/2018,"7.150,90"
12/4/18,"7.147,80"
11/4/18,"7.123,50"
10/4/18,"7.097,60"
9/4/18,"7.063,30"
6/4/18,"7.153,00"
5/4/18,"7.123,40"
4/4/18,"7.120,00"
3/4/18,"7.153,60"
2/4/18,"6.952,70"
29/03/2018,"6.928,10"
28/03/2018,"6.799,90"
27/03/2018,"6.783,90"
26/03/2018,"6.760,10"
23/03/2018,"6.769,60"
22/03/2018,"6.803,40"
21/03/2018,"6.876,90"
20/03/2018,"6.867,40"
19/03/2018,"6.833,10"
16/03/2018,"6.876,90"
15/03/2018,"6.864,80"
14/03/2018,"6.921,70"
13/03/2018,"6.987,40"
12/3/18,"7.130,80"
9/3/18,"7.097,70"
8/3/18,"7.109,30"
7/3/18,"7.099,80"
6/3/18,"7.087,40"
5/3/18,"7.230,30"
2/3/18,"7.202,40"
1/3/18,"6.959,80"
28/02/2018,"7.050,10"
27/02/2018,"7.114,70"
26/02/2018,"7.217,70"
23/02/2018,"7.343,00"
22/02/2018,"7.262,20"
21/02/2018,"7.423,60"
20/02/2018,"7.157,50"
19/02/2018,"7.002,40"
16/02/2018,"6.852,00"
15/02/2018,"6.916,60"
14/02/2018,"6.816,90"
13/02/2018,"6.856,20"
12/2/18,"6.850,10"
9/2/18,"6.858,70"
8/2/18,"7.073,50"
7/2/18,"7.199,50"
6/2/18,"7.045,80"
