Fecha,Último
20/08/2018,"5.409,30"
17/08/2018,"5.404,70"
16/08/2018,"5.411,90"
14/08/2018,"5.427,00"
13/08/2018,"5.407,00"
10/8/18,"5.413,30"
9/8/18,"5.531,40"
8/8/18,"5.549,90"
7/8/18,"5.558,30"
6/8/18,"5.580,20"
3/8/18,"5.604,40"
2/8/18,"5.572,80"
1/8/18,"5.598,30"
31/07/2018,"5.930,70"
30/07/2018,"5.900,00"
27/07/2018,"5.857,60"
26/07/2018,"5.912,20"
25/07/2018,"5.930,90"
24/07/2018,"5.957,80"
23/07/2018,"5.951,90"
20/07/2018,"5.951,10"
19/07/2018,"5.910,50"
18/07/2018,"5.952,50"
17/07/2018,"5.966,50"
13/07/2018,"5.926,00"
12/7/18,"5.904,50"
11/7/18,"5.926,50"
10/7/18,"5.919,10"
9/7/18,"5.929,50"
6/7/18,"5.919,40"
5/7/18,"5.914,20"
4/7/18,"5.951,20"
3/7/18,"6.002,90"
29/06/2018,"5.993,80"
28/06/2018,"5.878,90"
27/06/2018,"5.929,60"
26/06/2018,"5.924,10"
25/06/2018,"5.900,60"
22/06/2018,"5.934,40"
21/06/2018,"5.948,60"
20/06/2018,"5.998,30"
19/06/2018,"5.960,40"
18/06/2018,"6.003,40"
15/06/2018,"6.063,60"
14/06/2018,"6.100,80"
13/06/2018,"6.079,50"
12/6/18,"6.087,50"
11/6/18,"6.079,40"
8/6/18,"6.092,50"
7/6/18,"6.018,10"
6/6/18,"6.051,60"
5/6/18,"6.008,00"
4/6/18,"6.097,80"
1/6/18,"6.004,40"
31/05/2018,"5.906,30"
30/05/2018,"5.916,40"
29/05/2018,"5.937,50"
28/05/2018,"6.045,60"
25/05/2018,"6.006,80"
24/05/2018,"6.000,20"
23/05/2018,"5.981,60"
22/05/2018,"6.062,50"
18/05/2018,"6.053,00"
17/05/2018,"5.969,10"
16/05/2018,"6.067,70"
15/05/2018,"6.036,30"
14/05/2018,"6.074,20"
11/5/18,"6.002,60"
10/5/18,"6.073,20"
9/5/18,"5.997,90"
8/5/18,"5.930,30"
7/5/18,"5.906,00"
4/5/18,"5.901,50"
3/5/18,"5.900,40"
2/5/18,"5.947,20"
30/04/2018,"5.937,30"
27/04/2018,"5.926,40"
26/04/2018,"5.933,20"
25/04/2018,"5.960,10"
24/04/2018,"5.969,60"
23/04/2018,"5.996,70"
20/04/2018,"5.957,50"
19/04/2018,"5.960,80"
18/04/2018,"5.963,30"
17/04/2018,"5.937,20"
16/04/2018,"5.963,90"
13/04/2018,"5.954,40"
12/4/18,"5.920,20"
11/4/18,"5.906,10"
10/4/18,"5.910,60"
9/4/18,"5.831,10"
6/4/18,"5.822,40"
5/4/18,"5.837,80"
4/4/18,"5.792,10"
3/4/18,"5.797,80"
2/4/18,"5.799,70"
29/03/2018,"5.823,30"
28/03/2018,"5.806,00"
27/03/2018,"5.817,80"
26/03/2018,"5.776,10"
