Fecha,Último
20/08/2018,"585,01"
17/08/2018,"583,29"
16/08/2018,"593,16"
14/08/2018,"582,02"
13/08/2018,"585,00"
10/8/18,"585,00"
9/8/18,"594,41"
8/8/18,"596,00"
7/8/18,"596,00"
6/8/18,"595,93"
3/8/18,"596,03"
2/8/18,"592,03"
1/8/18,"599,89"
31/07/2018,"599,69"
30/07/2018,"587,94"
27/07/2018,"602,18"
26/07/2018,"607,62"
25/07/2018,"610,00"
24/07/2018,"612,43"
23/07/2018,"603,00"
20/07/2018,"608,00"
19/07/2018,"605,21"
18/07/2018,"609,98"
17/07/2018,"609,00"
13/07/2018,"609,98"
12/7/18,"619,67"
11/7/18,"625,00"
10/7/18,"625,05"
9/7/18,"624,66"
6/7/18,"612,00"
5/7/18,"610,03"
4/7/18,"606,00"
3/7/18,"602,00"
29/06/2018,"618,34"
28/06/2018,"602,14"
27/06/2018,"611,17"
26/06/2018,"620,00"
25/06/2018,"615,03"
22/06/2018,"625,02"
21/06/2018,"622,00"
20/06/2018,"631,11"
19/06/2018,"637,00"
18/06/2018,"637,10"
15/06/2018,"636,32"
14/06/2018,"648,33"
13/06/2018,"640,00"
12/6/18,"641,08"
11/6/18,"635,09"
8/6/18,"635,00"
7/6/18,"635,03"
6/6/18,"635,10"
5/6/18,"635,90"
4/6/18,"639,42"
1/6/18,"630,00"
31/05/2018,"632,77"
30/05/2018,"630,18"
29/05/2018,"629,39"
28/05/2018,"630,02"
25/05/2018,"649,45"
24/05/2018,"654,66"
23/05/2018,"645,29"
22/05/2018,"639,34"
18/05/2018,"631,00"
17/05/2018,"646,02"
16/05/2018,"645,00"
15/05/2018,"646,22"
14/05/2018,"659,99"
11/5/18,"665,00"
10/5/18,"669,88"
9/5/18,"667,98"
8/5/18,"659,97"
7/5/18,"659,80"
4/5/18,"639,98"
3/5/18,"661,61"
2/5/18,"668,10"
30/04/2018,"661,19"
27/04/2018,"652,77"
26/04/2018,"650,10"
25/04/2018,"650,11"
24/04/2018,"653,43"
23/04/2018,"658,00"
20/04/2018,"654,92"
19/04/2018,"652,95"
18/04/2018,"649,98"
17/04/2018,"648,74"
16/04/2018,"648,93"
13/04/2018,"655,00"
12/4/18,"649,07"
11/4/18,"652,04"
10/4/18,"652,25"
9/4/18,"651,56"
6/4/18,"643,97"
5/4/18,"640,00"
4/4/18,"627,68"
3/4/18,"630,05"
2/4/18,"620,00"
29/03/2018,"622,62"
28/03/2018,"609,45"
27/03/2018,"608,61"
26/03/2018,"600,87"
23/03/2018,"609,79"
22/03/2018,"605,50"
21/03/2018,"614,26"
20/03/2018,"616,17"
19/03/2018,"617,01"
16/03/2018,"617,25"
15/03/2018,"615,00"
14/03/2018,"616,97"
13/03/2018,"629,65"
12/3/18,"644,25"
9/3/18,"629,68"
8/3/18,"618,66"
7/3/18,"617,81"
6/3/18,"630,00"
5/3/18,"623,02"
2/3/18,"616,88"
1/3/18,"625,95"
28/02/2018,"637,91"
27/02/2018,"637,96"
26/02/2018,"652,25"
23/02/2018,"654,78"
22/02/2018,"654,01"
21/02/2018,"647,54"
20/02/2018,"647,45"
19/02/2018,"631,00"
16/02/2018,"631,00"
15/02/2018,"646,39"
14/02/2018,"640,18"
13/02/2018,"620,22"
12/2/18,"627,00"
9/2/18,"634,50"
8/2/18,"646,99"
7/2/18,"647,98"
6/2/18,"654,01"
5/2/18,"666,65"
2/2/18,"679,78"
1/2/18,"686,75"
31/01/2018,"705,36"
30/01/2018,"707,32"
29/01/2018,"715,83"
26/01/2018,"718,22"
25/01/2018,"711,67"
24/01/2018,"711,95"
23/01/2018,"699,78"
22/01/2018,"703,98"
19/01/2018,"700,06"
18/01/2018,"697,93"
17/01/2018,"693,97"
15/01/2018,"685,00"
12/1/18,"680,00"
11/1/18,"688,69"
10/1/18,"680,21"
9/1/18,"682,43"
8/1/18,"687,60"
5/1/18,"680,75"
4/1/18,"671,34"
3/1/18,"666,79"
2/1/18,"655,46"
29/12/2017,"668,26"
28/12/2017,"675,00"
27/12/2017,"679,00"
26/12/2017,"676,94"
22/12/2017,"690,00"
21/12/2017,"658,76"
20/12/2017,"685,57"
19/12/2017,"673,70"
18/12/2017,"673,65"
15/12/2017,"592,81"
14/12/2017,"576,97"
13/12/2017,"587,31"
12/12/17,"572,63"
11/12/17,"558,99"
7/12/17,"536,66"
6/12/17,"549,92"
5/12/17,"565,00"
4/12/17,"585,79"
1/12/17,"591,32"
30/11/2017,"578,50"
29/11/2017,"582,31"
28/11/2017,"585,42"
27/11/2017,"586,97"
24/11/2017,"555,00"
23/11/2017,"570,03"
22/11/2017,"598,24"
21/11/2017,"594,00"
20/11/2017,"586,72"
17/11/2017,"649,99"
16/11/2017,"649,28"
15/11/2017,"646,94"
14/11/2017,"650,00"
13/11/2017,"655,00"
10/11/17,"653,99"
9/11/17,"648,96"
8/11/17,"661,77"
7/11/17,"667,01"
6/11/17,"674,88"
3/11/17,"691,40"
2/11/17,"679,99"
31/10/2017,"667,10"
30/10/2017,"663,11"
26/10/2017,"653,39"
25/10/2017,"650,94"
24/10/2017,"651,20"
23/10/2017,"643,04"
20/10/2017,"634,07"
19/10/2017,"636,99"
18/10/2017,"634,38"
17/10/2017,"634,86"
16/10/2017,"628,55"
13/10/2017,"624,03"
12/10/17,"615,67"
11/10/17,"620,01"
10/10/17,"622,17"
6/10/17,"624,85"
5/10/17,"607,91"
4/10/17,"600,20"
3/10/17,"605,62"
2/10/17,"610,26"
29/09/2017,"609,75"
28/09/2017,"607,43"
27/09/2017,"606,66"
26/09/2017,"607,48"
25/09/2017,"605,52"
22/09/2017,"605,91"
21/09/2017,"601,99"
20/09/2017,"603,81"
15/09/2017,"597,27"
14/09/2017,"600,94"
13/09/2017,"596,20"
12/9/17,"595,00"
11/9/17,"599,99"
8/9/17,"589,88"
7/9/17,"594,94"
6/9/17,"587,94"
5/9/17,"598,85"
4/9/17,"599,52"
1/9/17,"598,69"
31/08/2017,"602,74"
30/08/2017,"600,73"
29/08/2017,"616,00"
28/08/2017,"619,63"
25/08/2017,"617,73"
24/08/2017,"609,52"
23/08/2017,"607,57"
22/08/2017,"622,10"
21/08/2017,"655,24"
18/08/2017,"655,00"
17/08/2017,"631,45"
16/08/2017,"619,37"
14/08/2017,"608,62"
11/8/17,"582,95"
10/8/17,"579,83"
9/8/17,"572,00"
8/8/17,"573,84"
7/8/17,"572,64"
4/8/17,"568,44"
3/8/17,"565,53"
2/8/17,"570,75"
1/8/17,"564,99"
31/07/2017,"552,76"
28/07/2017,"539,52"
27/07/2017,"542,00"
26/07/2017,"541,33"
